"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Jan 28 15:34:05 GMT 2023","Sat Jan 28 15:34:06 GMT 2023","795","","junit.SearchGoodsOnWB","","junit.SearchGoodsOnWB","costDependsOnСurrency","costDependsOnСurrency(Currency, String) Валюта KZT на сайте WB это Казахстанский тенге",""
"failed","Sat Jan 28 15:33:51 GMT 2023","Sat Jan 28 15:34:03 GMT 2023","12250","","junit.SearchGoodsOnWB","","junit.SearchGoodsOnWB","searchGoodsOnWB","searchGoodsOnWB(String, String) По запросу корм для собак мираторг для взрослых 10 кг на сайте WB нашлось 76 товаров",""
"passed","Sat Jan 28 15:34:03 GMT 2023","Sat Jan 28 15:34:04 GMT 2023","800","","junit.SearchGoodsOnWB","","junit.SearchGoodsOnWB","costDependsOnСurrency","costDependsOnСurrency(Currency, String) Валюта RUB на сайте WB это Российский рубль",""
"passed","Sat Jan 28 15:33:15 GMT 2023","Sat Jan 28 15:33:18 GMT 2023","2981","","github.CheckIssueName","","github.CheckIssueName","testCheckIssueNameUsingSteps","Тест на проверку задачи с использованием step",""
"passed","Sat Jan 28 15:33:35 GMT 2023","Sat Jan 28 15:33:35 GMT 2023","19","","junit.FirstJUnitTest","","junit.FirstJUnitTest","firstTest","firstTest()",""
"failed","Sat Jan 28 15:33:35 GMT 2023","Sat Jan 28 15:33:51 GMT 2023","15842","","junit.SearchGoodsOnWB","","junit.SearchGoodsOnWB","searchGoodsOnWB","searchGoodsOnWB(String, String) По запросу корм для кошек мираторг для взрослых 10 кг на сайте WB нашлось 103 товаров",""
"passed","Sat Jan 28 15:34:07 GMT 2023","Sat Jan 28 15:34:08 GMT 2023","825","","junit.SearchGoodsOnWB","","junit.SearchGoodsOnWB","costDependsOnСurrency","costDependsOnСurrency(Currency, String) Валюта UZS на сайте WB это Узбекский сум",""
"passed","Sat Jan 28 15:34:06 GMT 2023","Sat Jan 28 15:34:07 GMT 2023","837","","junit.SearchGoodsOnWB","","junit.SearchGoodsOnWB","costDependsOnСurrency","costDependsOnСurrency(Currency, String) Валюта KGS на сайте WB это Киргизский сом",""
"passed","Sat Jan 28 15:33:18 GMT 2023","Sat Jan 28 15:33:20 GMT 2023","2048","","github.CheckIssueName","","github.CheckIssueName","testCheckIssueNameUsingAnnotatedSteps","Тест на проверку задачи с использованием аннотации Step",""
"passed","Sat Jan 28 15:34:06 GMT 2023","Sat Jan 28 15:34:06 GMT 2023","827","","junit.SearchGoodsOnWB","","junit.SearchGoodsOnWB","costDependsOnСurrency","costDependsOnСurrency(Currency, String) Валюта AMD на сайте WB это Армянский драм",""
"passed","Sat Jan 28 15:33:20 GMT 2023","Sat Jan 28 15:33:23 GMT 2023","2318","","github.CheckIssueName","","github.CheckIssueName","testCheckIssueNameUsingListener","Тест на проверку задачи с использованием Listener",""
"passed","Sat Jan 28 15:33:14 GMT 2023","Sat Jan 28 15:33:15 GMT 2023","1376","","github.BestContributorToSelenide","","github.BestContributorToSelenide","solntsevShouldBeTheTopContributor","solntsevShouldBeTheTopContributor()",""
"passed","Sat Jan 28 15:34:04 GMT 2023","Sat Jan 28 15:34:05 GMT 2023","778","","junit.SearchGoodsOnWB","","junit.SearchGoodsOnWB","costDependsOnСurrency","costDependsOnСurrency(Currency, String) Валюта BYN на сайте WB это Белорусский рубль",""
"passed","Sat Jan 28 15:33:13 GMT 2023","Sat Jan 28 15:33:13 GMT 2023","309","","files.SelenideFilesTest","","files.SelenideFilesTest","parseXLSFile","parseXLSFile()",""
"passed","Sat Jan 28 15:33:13 GMT 2023","Sat Jan 28 15:33:13 GMT 2023","597","","files.SelenideFilesTest","","files.SelenideFilesTest","parsePDFFile","parsePDFFile()",""
"failed","Sat Jan 28 15:33:24 GMT 2023","Sat Jan 28 15:33:30 GMT 2023","5501","","github.SelenideRepositorySearch","","github.SelenideRepositorySearch","shouldFindSelenideRepositoryAtTheTop","shouldFindSelenideRepositoryAtTheTop()",""
"passed","Sat Jan 28 15:33:03 GMT 2023","Sat Jan 28 15:33:08 GMT 2023","4507","","demoqa.tests.DemoqaCheckingForm","","demoqa.tests.DemoqaCheckingForm","fillForm","fillForm()",""
"passed","Sat Jan 28 15:33:08 GMT 2023","Sat Jan 28 15:33:12 GMT 2023","4440","","demoqa.tests.GenerationDataForCheckingForm","","demoqa.tests.GenerationDataForCheckingForm","fillForm","fillForm()",""
"passed","Sat Jan 28 15:33:14 GMT 2023","Sat Jan 28 15:33:14 GMT 2023","495","","files.SelenideJSONFileTest","","files.SelenideJSONFileTest","parseJSONFile","parseJSONFile()",""
"failed","Sat Jan 28 15:33:30 GMT 2023","Sat Jan 28 15:33:35 GMT 2023","4900","","github.SoftAssertionsHaveJUnit5","","github.SoftAssertionsHaveJUnit5","softAssertionsHaveCodeJUnit5","softAssertionsHaveCodeJUnit5()",""
"passed","Sat Jan 28 15:32:55 GMT 2023","Sat Jan 28 15:33:03 GMT 2023","8392","","demoqa.tests.CheckingFormWithPageObjects","","demoqa.tests.CheckingFormWithPageObjects","fillForm","fillForm()",""
"passed","Sat Jan 28 15:33:23 GMT 2023","Sat Jan 28 15:33:24 GMT 2023","1719","","github.LoadingTheCorrectPage","","github.LoadingTheCorrectPage","loadingPageWithSpecificTitle","loadingPageWithSpecificTitle()",""
"passed","Sat Jan 28 15:33:12 GMT 2023","Sat Jan 28 15:33:13 GMT 2023","231","","files.SelenideFilesTest","","files.SelenideFilesTest","parseCSVFile","parseCSVFile()",""
