"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Jan 28 15:43:01 GMT 2023","Sat Jan 28 15:43:02 GMT 2023","865","","junit.SearchGoodsOnWB","","junit.SearchGoodsOnWB","costDependsOnСurrency","costDependsOnСurrency(Currency, String) Валюта KGS на сайте WB это Киргизский сом",""
"failed","Sat Jan 28 15:42:26 GMT 2023","Sat Jan 28 15:42:31 GMT 2023","5012","","github.SoftAssertionsHaveJUnit5","","github.SoftAssertionsHaveJUnit5","softAssertionsHaveCodeJUnit5","softAssertionsHaveCodeJUnit5()",""
"passed","Sat Jan 28 15:42:18 GMT 2023","Sat Jan 28 15:42:20 GMT 2023","1988","","github.LoadingTheCorrectPage","","github.LoadingTheCorrectPage","loadingPageWithSpecificTitle","loadingPageWithSpecificTitle()",""
"passed","Sat Jan 28 15:42:08 GMT 2023","Sat Jan 28 15:42:10 GMT 2023","1680","","github.BestContributorToSelenide","","github.BestContributorToSelenide","solntsevShouldBeTheTopContributor","solntsevShouldBeTheTopContributor()",""
"passed","Sat Jan 28 15:42:10 GMT 2023","Sat Jan 28 15:42:13 GMT 2023","3119","","github.CheckIssueName","","github.CheckIssueName","testCheckIssueNameUsingSteps","Тест на проверку задачи с использованием step",""
"passed","Sat Jan 28 15:42:08 GMT 2023","Sat Jan 28 15:42:08 GMT 2023","464","","files.SelenideJSONFileTest","","files.SelenideJSONFileTest","parseJSONFile","parseJSONFile()",""
"passed","Sat Jan 28 15:42:06 GMT 2023","Sat Jan 28 15:42:07 GMT 2023","165","","files.SelenideFilesTest","","files.SelenideFilesTest","parseCSVFile","parseCSVFile()",""
"passed","Sat Jan 28 15:42:02 GMT 2023","Sat Jan 28 15:42:06 GMT 2023","4290","","demoqa.tests.GenerationDataForCheckingForm","","demoqa.tests.GenerationDataForCheckingForm","fillForm","fillForm()",""
"passed","Sat Jan 28 15:42:58 GMT 2023","Sat Jan 28 15:42:59 GMT 2023","840","","junit.SearchGoodsOnWB","","junit.SearchGoodsOnWB","costDependsOnСurrency","costDependsOnСurrency(Currency, String) Валюта RUB на сайте WB это Российский рубль",""
"failed","Sat Jan 28 15:42:45 GMT 2023","Sat Jan 28 15:42:58 GMT 2023","12702","","junit.SearchGoodsOnWB","","junit.SearchGoodsOnWB","searchGoodsOnWB","searchGoodsOnWB(String, String) По запросу корм для собак мираторг для взрослых 10 кг на сайте WB нашлось 76 товаров",""
"passed","Sat Jan 28 15:42:59 GMT 2023","Sat Jan 28 15:43:00 GMT 2023","838","","junit.SearchGoodsOnWB","","junit.SearchGoodsOnWB","costDependsOnСurrency","costDependsOnСurrency(Currency, String) Валюта KZT на сайте WB это Казахстанский тенге",""
"passed","Sat Jan 28 15:42:07 GMT 2023","Sat Jan 28 15:42:08 GMT 2023","566","","files.SelenideFilesTest","","files.SelenideFilesTest","parsePDFFile","parsePDFFile()",""
"failed","Sat Jan 28 15:42:31 GMT 2023","Sat Jan 28 15:42:45 GMT 2023","14210","","junit.SearchGoodsOnWB","","junit.SearchGoodsOnWB","searchGoodsOnWB","searchGoodsOnWB(String, String) По запросу корм для кошек мираторг для взрослых 10 кг на сайте WB нашлось 103 товаров",""
"passed","Sat Jan 28 15:42:31 GMT 2023","Sat Jan 28 15:42:31 GMT 2023","13","","junit.FirstJUnitTest","","junit.FirstJUnitTest","firstTest","firstTest()",""
"failed","Sat Jan 28 15:42:20 GMT 2023","Sat Jan 28 15:42:26 GMT 2023","5619","","github.SelenideRepositorySearch","","github.SelenideRepositorySearch","shouldFindSelenideRepositoryAtTheTop","shouldFindSelenideRepositoryAtTheTop()",""
"passed","Sat Jan 28 15:41:49 GMT 2023","Sat Jan 28 15:41:58 GMT 2023","8584","","demoqa.tests.CheckingFormWithPageObjects","","demoqa.tests.CheckingFormWithPageObjects","fillForm","fillForm()",""
"passed","Sat Jan 28 15:42:59 GMT 2023","Sat Jan 28 15:42:59 GMT 2023","845","","junit.SearchGoodsOnWB","","junit.SearchGoodsOnWB","costDependsOnСurrency","costDependsOnСurrency(Currency, String) Валюта BYN на сайте WB это Белорусский рубль",""
"passed","Sat Jan 28 15:41:58 GMT 2023","Sat Jan 28 15:42:02 GMT 2023","4402","","demoqa.tests.DemoqaCheckingForm","","demoqa.tests.DemoqaCheckingForm","fillForm","fillForm()",""
"passed","Sat Jan 28 15:42:07 GMT 2023","Sat Jan 28 15:42:07 GMT 2023","354","","files.SelenideFilesTest","","files.SelenideFilesTest","parseXLSFile","parseXLSFile()",""
"passed","Sat Jan 28 15:42:15 GMT 2023","Sat Jan 28 15:42:18 GMT 2023","2632","","github.CheckIssueName","","github.CheckIssueName","testCheckIssueNameUsingListener","Тест на проверку задачи с использованием Listener",""
"passed","Sat Jan 28 15:42:13 GMT 2023","Sat Jan 28 15:42:15 GMT 2023","2481","","github.CheckIssueName","","github.CheckIssueName","testCheckIssueNameUsingAnnotatedSteps","Тест на проверку задачи с использованием аннотации Step",""
"passed","Sat Jan 28 15:43:00 GMT 2023","Sat Jan 28 15:43:01 GMT 2023","844","","junit.SearchGoodsOnWB","","junit.SearchGoodsOnWB","costDependsOnСurrency","costDependsOnСurrency(Currency, String) Валюта AMD на сайте WB это Армянский драм",""
"passed","Sat Jan 28 15:43:02 GMT 2023","Sat Jan 28 15:43:03 GMT 2023","913","","junit.SearchGoodsOnWB","","junit.SearchGoodsOnWB","costDependsOnСurrency","costDependsOnСurrency(Currency, String) Валюта UZS на сайте WB это Узбекский сум",""
