"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Jan 28 15:37:01 GMT 2023","Sat Jan 28 15:37:03 GMT 2023","2458","","github.CheckIssueName","","github.CheckIssueName","testCheckIssueNameUsingListener","Тест на проверку задачи с использованием Listener",""
"passed","Sat Jan 28 15:36:31 GMT 2023","Sat Jan 28 15:36:40 GMT 2023","8780","","demoqa.tests.CheckingFormWithPageObjects","","demoqa.tests.CheckingFormWithPageObjects","fillForm","fillForm()",""
"passed","Sat Jan 28 15:37:03 GMT 2023","Sat Jan 28 15:37:06 GMT 2023","2344","","github.LoadingTheCorrectPage","","github.LoadingTheCorrectPage","loadingPageWithSpecificTitle","loadingPageWithSpecificTitle()",""
"passed","Sat Jan 28 15:36:53 GMT 2023","Sat Jan 28 15:36:56 GMT 2023","2365","","github.BestContributorToSelenide","","github.BestContributorToSelenide","solntsevShouldBeTheTopContributor","solntsevShouldBeTheTopContributor()",""
"passed","Sat Jan 28 15:36:51 GMT 2023","Sat Jan 28 15:36:52 GMT 2023","264","","files.SelenideFilesTest","","files.SelenideFilesTest","parseCSVFile","parseCSVFile()",""
"passed","Sat Jan 28 15:37:49 GMT 2023","Sat Jan 28 15:37:49 GMT 2023","844","","junit.SearchGoodsOnWB","","junit.SearchGoodsOnWB","costDependsOnСurrency","costDependsOnСurrency(Currency, String) Валюта KGS на сайте WB это Киргизский сом",""
"passed","Sat Jan 28 15:37:47 GMT 2023","Sat Jan 28 15:37:48 GMT 2023","1074","","junit.SearchGoodsOnWB","","junit.SearchGoodsOnWB","costDependsOnСurrency","costDependsOnСurrency(Currency, String) Валюта KZT на сайте WB это Казахстанский тенге",""
"failed","Sat Jan 28 15:37:06 GMT 2023","Sat Jan 28 15:37:12 GMT 2023","5744","","github.SelenideRepositorySearch","","github.SelenideRepositorySearch","shouldFindSelenideRepositoryAtTheTop","shouldFindSelenideRepositoryAtTheTop()",""
"passed","Sat Jan 28 15:37:46 GMT 2023","Sat Jan 28 15:37:47 GMT 2023","885","","junit.SearchGoodsOnWB","","junit.SearchGoodsOnWB","costDependsOnСurrency","costDependsOnСurrency(Currency, String) Валюта BYN на сайте WB это Белорусский рубль",""
"passed","Sat Jan 28 15:37:17 GMT 2023","Sat Jan 28 15:37:17 GMT 2023","17","","junit.FirstJUnitTest","","junit.FirstJUnitTest","firstTest","firstTest()",""
"passed","Sat Jan 28 15:36:56 GMT 2023","Sat Jan 28 15:36:59 GMT 2023","2968","","github.CheckIssueName","","github.CheckIssueName","testCheckIssueNameUsingSteps","Тест на проверку задачи с использованием step",""
"passed","Sat Jan 28 15:36:52 GMT 2023","Sat Jan 28 15:36:52 GMT 2023","439","","files.SelenideFilesTest","","files.SelenideFilesTest","parseXLSFile","parseXLSFile()",""
"passed","Sat Jan 28 15:36:45 GMT 2023","Sat Jan 28 15:36:51 GMT 2023","5915","","demoqa.tests.GenerationDataForCheckingForm","","demoqa.tests.GenerationDataForCheckingForm","fillForm","fillForm()",""
"passed","Sat Jan 28 15:36:53 GMT 2023","Sat Jan 28 15:36:53 GMT 2023","615","","files.SelenideJSONFileTest","","files.SelenideJSONFileTest","parseJSONFile","parseJSONFile()",""
"passed","Sat Jan 28 15:36:52 GMT 2023","Sat Jan 28 15:36:53 GMT 2023","656","","files.SelenideFilesTest","","files.SelenideFilesTest","parsePDFFile","parsePDFFile()",""
"passed","Sat Jan 28 15:37:49 GMT 2023","Sat Jan 28 15:37:50 GMT 2023","884","","junit.SearchGoodsOnWB","","junit.SearchGoodsOnWB","costDependsOnСurrency","costDependsOnСurrency(Currency, String) Валюта UZS на сайте WB это Узбекский сум",""
"passed","Sat Jan 28 15:37:48 GMT 2023","Sat Jan 28 15:37:49 GMT 2023","823","","junit.SearchGoodsOnWB","","junit.SearchGoodsOnWB","costDependsOnСurrency","costDependsOnСurrency(Currency, String) Валюта AMD на сайте WB это Армянский драм",""
"failed","Sat Jan 28 15:37:12 GMT 2023","Sat Jan 28 15:37:17 GMT 2023","5256","","github.SoftAssertionsHaveJUnit5","","github.SoftAssertionsHaveJUnit5","softAssertionsHaveCodeJUnit5","softAssertionsHaveCodeJUnit5()",""
"passed","Sat Jan 28 15:36:40 GMT 2023","Sat Jan 28 15:36:45 GMT 2023","5054","","demoqa.tests.DemoqaCheckingForm","","demoqa.tests.DemoqaCheckingForm","fillForm","fillForm()",""
"passed","Sat Jan 28 15:36:59 GMT 2023","Sat Jan 28 15:37:01 GMT 2023","2266","","github.CheckIssueName","","github.CheckIssueName","testCheckIssueNameUsingAnnotatedSteps","Тест на проверку задачи с использованием аннотации Step",""
"failed","Sat Jan 28 15:37:17 GMT 2023","Sat Jan 28 15:37:33 GMT 2023","15620","","junit.SearchGoodsOnWB","","junit.SearchGoodsOnWB","searchGoodsOnWB","searchGoodsOnWB(String, String) По запросу корм для кошек мираторг для взрослых 10 кг на сайте WB нашлось 103 товаров",""
"passed","Sat Jan 28 15:37:45 GMT 2023","Sat Jan 28 15:37:46 GMT 2023","810","","junit.SearchGoodsOnWB","","junit.SearchGoodsOnWB","costDependsOnСurrency","costDependsOnСurrency(Currency, String) Валюта RUB на сайте WB это Российский рубль",""
"failed","Sat Jan 28 15:37:33 GMT 2023","Sat Jan 28 15:37:45 GMT 2023","12335","","junit.SearchGoodsOnWB","","junit.SearchGoodsOnWB","searchGoodsOnWB","searchGoodsOnWB(String, String) По запросу корм для собак мираторг для взрослых 10 кг на сайте WB нашлось 76 товаров",""
